combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_distance;shot_made_flag;shot_type
Jump Shot;107;82;9;3;0;2007-08;20;13;0;2PT Field Goal
Jump Shot;244;56;0;3;0;2011-12;50;25;0;3PT Field Goal
Jump Shot;82;76;0;3;0;2004-05;25;11;1;2PT Field Goal
Jump Shot;-122;227;0;2;1;2008-09;48;25;0;3PT Field Goal
Jump Shot;-225;7;7;4;0;2003-04;20;22;0;3PT Field Goal
Jump Shot;119;3;4;2;0;2009-10;21;11;1;2PT Field Goal
Jump Shot;154;140;8;3;0;2010-11;15;20;0;2PT Field Goal
Jump Shot;-78;121;3;3;0;2015-16;54;14;1;2PT Field Goal
Jump Shot;-147;141;7;1;0;2000-01;5;20;0;2PT Field Goal
Jump Shot;129;215;0;3;0;2001-02;3;25;1;3PT Field Goal
Jump Shot;95;115;9;2;1;2006-07;13;14;1;2PT Field Goal
Jump Shot;-130;93;0;2;0;2009-10;28;15;0;2PT Field Goal
Jump Shot;105;135;5;3;1;2003-04;49;17;1;2PT Field Goal
Jump Shot;163;22;10;3;0;2004-05;36;16;0;2PT Field Goal
Layup;0;0;3;2;0;2007-08;50;0;1;2PT Field Goal
Jump Shot;-82;107;0;3;0;2012-13;3;13;0;2PT Field Goal
Jump Shot;-98;19;5;1;0;2010-11;48;9;1;2PT Field Goal
Jump Shot;131;156;4;1;0;2002-03;11;20;1;2PT Field Goal
Jump Shot;143;216;2;2;0;2009-10;32;25;0;3PT Field Goal
Jump Shot;-181;102;4;2;1;2003-04;40;20;0;2PT Field Goal
Jump Shot;-156;18;11;4;0;2005-06;9;15;1;2PT Field Goal
Jump Shot;-207;141;3;3;0;2006-07;8;25;0;3PT Field Goal
Jump Shot;-119;220;3;2;0;2010-11;21;25;0;3PT Field Goal
Jump Shot;-188;85;10;1;0;2010-11;24;20;1;2PT Field Goal
Jump Shot;-174;105;0;4;0;2005-06;8;20;1;2PT Field Goal
Layup;4;35;8;1;0;2012-13;15;3;0;2PT Field Goal
Layup;0;0;1;4;0;2006-07;33;0;0;2PT Field Goal
Jump Shot;-26;81;11;2;0;2002-03;23;8;1;2PT Field Goal
Layup;0;0;3;1;0;2008-09;9;0;1;2PT Field Goal
Jump Shot;-171;236;0;1;0;2012-13;0;29;0;3PT Field Goal
Jump Shot;141;17;0;3;1;2010-11;41;14;1;2PT Field Goal
Jump Shot;192;160;3;2;0;2007-08;16;24;1;3PT Field Goal
Jump Shot;-197;5;0;5;0;2005-06;23;19;0;2PT Field Goal
Jump Shot;-65;194;7;4;0;2012-13;20;20;1;2PT Field Goal
Jump Shot;37;91;8;3;0;2009-10;46;9;0;2PT Field Goal
Jump Shot;-123;67;8;1;0;2012-13;1;14;0;2PT Field Goal
Jump Shot;-146;12;5;1;0;2006-07;46;14;0;2PT Field Goal
Jump Shot;-103;186;11;1;0;2003-04;11;21;1;2PT Field Goal
Jump Shot;-109;165;8;1;0;2010-11;9;19;1;2PT Field Goal
Jump Shot;192;-5;0;2;0;2012-13;1;19;0;2PT Field Goal
Layup;0;0;4;1;0;2000-01;30;0;1;2PT Field Goal
Layup;0;0;3;2;0;2005-06;56;0;1;2PT Field Goal
Jump Shot;64;155;10;1;0;2003-04;40;16;1;2PT Field Goal
Jump Shot;84;15;8;4;0;2009-10;14;8;1;2PT Field Goal
Jump Shot;80;0;5;3;0;2006-07;21;8;0;2PT Field Goal
Jump Shot;179;79;4;2;0;2005-06;31;19;0;2PT Field Goal
Layup;-18;4;11;3;1;2011-12;25;1;0;2PT Field Goal
Jump Shot;-122;137;6;3;0;2000-01;36;18;1;2PT Field Goal
Jump Shot;62;22;5;3;0;2003-04;15;6;1;2PT Field Goal
Jump Shot;-190;78;11;1;0;2011-12;45;20;1;2PT Field Goal
Jump Shot;-105;71;2;2;1;2008-09;39;12;1;2PT Field Goal
Layup;0;0;9;4;0;2004-05;12;0;0;2PT Field Goal
Jump Shot;-143;-13;11;4;0;2005-06;34;14;1;2PT Field Goal
Jump Shot;225;46;5;4;0;2003-04;13;22;0;3PT Field Goal
Jump Shot;136;-11;11;2;1;2002-03;27;13;0;2PT Field Goal
Jump Shot;0;255;3;5;1;1996-97;3;25;0;3PT Field Goal
Jump Shot;-228;17;0;2;0;2010-11;3;22;0;3PT Field Goal
Layup;0;0;11;4;0;2001-02;5;0;0;2PT Field Goal
Layup;0;0;6;1;1;2009-10;23;0;0;2PT Field Goal
Jump Shot;46;183;0;5;0;2002-03;58;18;1;2PT Field Goal
Jump Shot;136;220;8;1;0;2004-05;36;25;1;3PT Field Goal
Jump Shot;110;192;3;3;1;2000-01;55;22;0;2PT Field Goal
Jump Shot;-177;194;2;4;1;2008-09;2;26;0;3PT Field Goal
Jump Shot;-153;195;1;1;0;2014-15;48;24;1;3PT Field Goal
Jump Shot;-16;49;8;2;0;2003-04;40;5;0;2PT Field Goal
Jump Shot;113;246;3;3;0;2010-11;13;27;0;3PT Field Goal
Jump Shot;87;169;6;1;0;2015-16;34;19;0;2PT Field Goal
Jump Shot;151;201;9;3;0;2006-07;2;25;0;3PT Field Goal
Jump Shot;0;254;3;4;0;2014-15;28;25;0;3PT Field Goal
Layup;15;14;10;3;1;2011-12;55;2;0;2PT Field Goal
Jump Shot;0;86;6;2;1;2010-11;22;8;1;2PT Field Goal
Jump Shot;146;235;4;3;0;2008-09;20;27;0;3PT Field Goal
Jump Shot;223;114;4;3;0;2004-05;43;25;0;3PT Field Goal
Dunk;0;0;5;3;0;2007-08;0;0;1;2PT Field Goal
Jump Shot;124;-2;2;1;0;2010-11;52;12;1;2PT Field Goal
Jump Shot;102;7;4;1;0;2004-05;57;10;0;2PT Field Goal
Jump Shot;100;233;9;4;0;1999-00;37;25;0;3PT Field Goal
Jump Shot;57;44;8;3;0;1999-00;54;7;1;2PT Field Goal
Layup;0;0;8;3;0;2005-06;41;0;1;2PT Field Goal
Jump Shot;233;64;3;3;0;2002-03;32;24;0;3PT Field Goal
Jump Shot;0;257;1;4;0;2006-07;1;25;0;3PT Field Goal
Jump Shot;-117;70;10;2;0;2001-02;16;13;1;2PT Field Goal
Layup;0;0;8;3;0;2009-10;4;0;1;2PT Field Goal
Jump Shot;121;129;2;4;0;2014-15;26;17;1;2PT Field Goal
Jump Shot;103;137;11;4;0;2006-07;46;17;0;2PT Field Goal
Jump Shot;118;175;5;4;0;2009-10;57;21;1;2PT Field Goal
Jump Shot;-227;114;6;4;1;2002-03;41;25;0;3PT Field Goal
Jump Shot;-158;205;5;2;0;2011-12;4;25;0;3PT Field Goal
Layup;-7;20;4;3;1;2011-12;0;2;1;2PT Field Goal
Jump Shot;-112;-11;1;4;0;2007-08;6;11;0;2PT Field Goal
Jump Shot;-154;135;9;3;0;2005-06;59;20;1;2PT Field Goal
Jump Shot;-237;42;3;3;0;2009-10;51;24;0;3PT Field Goal
Jump Shot;136;184;4;3;0;2011-12;15;22;1;2PT Field Goal
Jump Shot;-6;173;0;1;0;1999-00;39;17;0;2PT Field Goal
Jump Shot;38;97;4;1;0;2002-03;4;10;0;2PT Field Goal
Jump Shot;-143;222;0;4;0;1997-98;3;26;0;3PT Field Goal
Jump Shot;151;137;9;2;0;2007-08;5;20;0;2PT Field Goal
Jump Shot;2;119;11;3;0;2012-13;5;11;0;2PT Field Goal
Jump Shot;-145;156;9;1;0;2001-02;3;21;0;2PT Field Goal
Jump Shot;18;61;7;3;0;2008-09;21;6;1;2PT Field Goal
Jump Shot;-153;17;11;2;0;2005-06;45;15;1;2PT Field Goal
Layup;0;0;2;4;0;2005-06;33;0;0;2PT Field Goal
Layup;0;0;7;3;0;2009-10;30;0;1;2PT Field Goal
Jump Shot;-100;75;1;4;0;2009-10;40;12;0;2PT Field Goal
Jump Shot;113;233;7;2;0;1997-98;43;25;0;3PT Field Goal
Jump Shot;-147;61;8;2;1;2009-10;32;15;0;2PT Field Goal
Jump Shot;-98;37;3;1;0;2012-13;21;10;1;2PT Field Goal
Jump Shot;-96;179;10;2;0;1997-98;38;20;1;2PT Field Goal
Jump Shot;58;254;2;1;0;2012-13;4;26;0;3PT Field Goal
Layup;-4;2;4;1;0;2001-02;25;0;1;2PT Field Goal
Jump Shot;-94;258;0;1;0;2005-06;55;27;1;3PT Field Goal
Jump Shot;-130;103;4;3;0;2001-02;8;16;0;2PT Field Goal
Jump Shot;-27;112;11;4;0;2000-01;7;11;0;2PT Field Goal
Jump Shot;127;125;4;5;0;2000-01;15;17;1;2PT Field Goal
Layup;0;0;10;1;0;2000-01;24;0;0;2PT Field Goal
Jump Shot;-133;228;2;3;0;2010-11;35;26;0;3PT Field Goal
Jump Shot;115;148;6;4;0;2007-08;30;18;0;2PT Field Goal
Jump Shot;93;166;7;1;1;1998-99;20;19;1;2PT Field Goal
Layup;17;-8;6;1;0;2014-15;45;1;0;2PT Field Goal
Layup;0;0;0;2;0;2004-05;2;0;1;2PT Field Goal
Layup;0;0;10;1;0;2007-08;46;0;0;2PT Field Goal
Jump Shot;121;33;10;2;0;1999-00;26;12;0;2PT Field Goal
Jump Shot;-15;48;4;2;0;2011-12;9;5;0;2PT Field Goal
Jump Shot;-179;79;4;5;0;2005-06;21;19;0;2PT Field Goal
Jump Shot;146;34;5;4;0;2013-14;11;14;1;2PT Field Goal
Jump Shot;39;34;5;3;0;2000-01;16;5;0;2PT Field Goal
Layup;0;0;2;1;0;1996-97;28;0;0;2PT Field Goal
Jump Shot;39;80;9;3;0;2001-02;26;8;0;2PT Field Goal
Dunk;0;0;2;1;0;2000-01;51;0;1;2PT Field Goal
Jump Shot;-25;30;3;4;0;2003-04;50;3;0;2PT Field Goal
Jump Shot;-125;229;0;3;0;2003-04;32;26;0;3PT Field Goal
Dunk;0;0;5;1;1;2009-10;59;0;1;2PT Field Goal
Jump Shot;181;190;8;3;0;2008-09;30;26;0;3PT Field Goal
Jump Shot;103;158;9;3;0;2005-06;41;18;1;2PT Field Goal
Jump Shot;-156;33;2;3;0;2002-03;54;15;0;2PT Field Goal
Jump Shot;-191;198;6;2;0;2015-16;51;27;0;3PT Field Goal
Jump Shot;83;97;11;1;1;2008-09;12;12;1;2PT Field Goal
Jump Shot;45;178;2;2;0;2011-12;31;18;0;2PT Field Goal
Jump Shot;151;0;0;3;0;2004-05;5;15;0;2PT Field Goal
Jump Shot;15;33;4;1;0;2009-10;23;3;0;2PT Field Goal
Jump Shot;0;123;0;1;0;2003-04;27;12;1;2PT Field Goal
Jump Shot;-186;184;0;4;0;2006-07;11;26;1;3PT Field Goal
Layup;0;0;7;2;0;2005-06;29;0;1;2PT Field Goal
Jump Shot;159;-6;9;2;0;2002-03;14;15;0;2PT Field Goal
Jump Shot;116;121;3;4;0;2012-13;53;16;1;2PT Field Goal
Jump Shot;120;214;6;4;1;2007-08;39;24;1;3PT Field Goal
Jump Shot;56;39;0;2;0;2008-09;0;6;0;2PT Field Goal
Jump Shot;-60;156;1;4;0;2000-01;5;16;0;2PT Field Goal
Jump Shot;28;34;8;3;0;2010-11;54;4;1;2PT Field Goal
Jump Shot;130;231;7;2;0;1997-98;15;26;1;3PT Field Goal
Jump Shot;151;238;0;1;1;2005-06;1;28;1;3PT Field Goal
Jump Shot;7;91;2;1;0;2000-01;22;9;0;2PT Field Goal
Jump Shot;-214;124;0;4;0;2015-16;50;24;0;3PT Field Goal
Jump Shot;-213;107;3;3;1;2009-10;48;23;0;3PT Field Goal
Jump Shot;127;80;6;1;0;2000-01;17;15;0;2PT Field Goal
Jump Shot;144;99;2;2;0;2001-02;55;17;1;2PT Field Goal
Jump Shot;115;13;1;2;1;2001-02;58;11;1;2PT Field Goal
Jump Shot;148;4;0;3;0;2001-02;4;14;0;2PT Field Goal
Jump Shot;146;140;7;3;0;2002-03;8;20;1;2PT Field Goal
Layup;0;0;5;4;0;2009-10;20;0;1;2PT Field Goal
Jump Shot;-202;80;1;3;0;2010-11;4;21;0;2PT Field Goal
Jump Shot;-212;133;5;3;0;2007-08;4;25;0;3PT Field Goal
Jump Shot;-54;45;3;4;0;2004-05;7;7;0;2PT Field Goal
Jump Shot;138;74;7;1;0;2009-10;43;15;1;2PT Field Goal
Jump Shot;231;0;8;4;0;2012-13;8;23;1;3PT Field Goal
Jump Shot;102;164;8;1;0;2015-16;7;19;0;2PT Field Goal
Jump Shot;-158;23;7;3;1;2008-09;54;15;0;2PT Field Goal
Jump Shot;-108;23;5;2;0;2004-05;22;11;0;2PT Field Goal
Jump Shot;-130;107;2;3;0;2008-09;18;16;1;2PT Field Goal
Jump Shot;115;108;6;1;0;2001-02;46;15;0;2PT Field Goal
Dunk;0;6;2;4;0;2010-11;18;0;1;2PT Field Goal
Jump Shot;159;40;3;1;0;2000-01;24;16;1;2PT Field Goal
Jump Shot;187;173;11;1;0;2012-13;25;25;0;3PT Field Goal
Jump Shot;98;173;9;2;0;1999-00;57;19;1;2PT Field Goal
Jump Shot;133;48;4;1;0;2007-08;10;14;1;2PT Field Goal
Jump Shot;-2;129;6;2;0;2014-15;27;12;1;2PT Field Goal
Layup;0;0;1;4;0;2006-07;46;0;1;2PT Field Goal
Layup;0;0;2;4;1;2007-08;22;0;1;2PT Field Goal
Jump Shot;181;184;1;1;0;2012-13;41;25;1;3PT Field Goal
Jump Shot;164;246;0;5;0;1998-99;11;29;1;3PT Field Goal
Jump Shot;85;16;11;4;1;1999-00;20;8;0;2PT Field Goal
Jump Shot;141;151;7;1;0;2007-08;56;20;0;2PT Field Goal
Jump Shot;64;43;9;2;0;2004-05;5;7;0;2PT Field Goal
Jump Shot;-199;149;3;4;0;2008-09;39;24;1;3PT Field Goal
Jump Shot;144;127;2;2;0;2010-11;24;19;0;2PT Field Goal
Layup;0;0;9;2;0;2005-06;0;0;1;2PT Field Goal
Jump Shot;100;107;3;3;0;2009-10;57;14;0;2PT Field Goal
Layup;0;0;6;1;0;1999-00;33;0;1;2PT Field Goal
Jump Shot;1;222;1;4;0;1999-00;33;22;0;2PT Field Goal
Jump Shot;94;-2;9;3;0;2000-01;47;9;1;2PT Field Goal
Jump Shot;-103;184;0;3;1;2010-11;2;21;0;2PT Field Goal
Jump Shot;94;173;2;3;0;2001-02;13;19;0;2PT Field Goal
Jump Shot;-46;101;5;2;0;2008-09;55;11;1;2PT Field Goal
Jump Shot;-200;174;2;4;1;2002-03;28;26;0;3PT Field Goal
Jump Shot;-84;117;11;4;0;2002-03;47;14;1;2PT Field Goal
Jump Shot;132;162;5;2;0;2008-09;0;20;0;2PT Field Goal
Jump Shot;41;71;8;1;0;2005-06;25;8;0;2PT Field Goal
Jump Shot;64;116;7;3;0;2013-14;48;13;0;2PT Field Goal
Jump Shot;119;56;0;2;0;2015-16;24;13;0;2PT Field Goal
Layup;-12;0;9;3;0;2001-02;18;1;1;2PT Field Goal
Jump Shot;133;172;9;1;0;2009-10;11;21;0;2PT Field Goal
Jump Shot;-151;56;9;1;0;2006-07;52;16;1;2PT Field Goal
Layup;0;0;3;1;0;2008-09;21;0;0;2PT Field Goal
Layup;0;0;3;3;1;2009-10;35;0;1;2PT Field Goal
Jump Shot;128;222;9;1;0;2007-08;47;25;0;3PT Field Goal
Jump Shot;-69;302;0;4;0;2001-02;10;30;0;3PT Field Goal
Jump Shot;144;4;11;3;0;2009-10;44;14;1;2PT Field Goal
Jump Shot;132;127;6;1;0;2000-01;36;18;1;2PT Field Goal
Jump Shot;13;82;3;4;0;2011-12;56;8;1;2PT Field Goal
Jump Shot;-127;106;8;4;0;1996-97;16;16;1;2PT Field Goal
Jump Shot;11;241;5;2;1;2001-02;31;24;0;3PT Field Goal
Jump Shot;40;48;0;1;1;2009-10;50;6;1;2PT Field Goal
Jump Shot;102;199;9;3;0;2003-04;45;22;1;2PT Field Goal
Jump Shot;92;211;4;2;0;2009-10;21;23;1;2PT Field Goal
Jump Shot;-131;215;1;4;0;2004-05;27;25;0;3PT Field Goal
Layup;0;0;8;1;0;2005-06;50;0;1;2PT Field Goal
Jump Shot;-191;153;4;1;0;2005-06;0;24;0;3PT Field Goal
Layup;0;0;0;2;0;2007-08;46;0;1;2PT Field Goal
Jump Shot;108;76;6;1;0;2001-02;55;13;1;2PT Field Goal
Jump Shot;16;76;2;1;0;1999-00;14;7;0;2PT Field Goal
Jump Shot;125;69;5;3;1;2009-10;23;14;1;2PT Field Goal
Layup;0;0;10;3;0;2009-10;24;0;0;2PT Field Goal
Jump Shot;-227;151;7;1;0;1998-99;43;27;0;3PT Field Goal
Jump Shot;-119;175;10;1;0;1999-00;11;21;1;2PT Field Goal
Jump Shot;10;219;10;1;0;2014-15;19;21;1;2PT Field Goal
Layup;0;0;8;3;0;2009-10;52;0;1;2PT Field Goal
Layup;0;0;8;1;0;2005-06;8;0;1;2PT Field Goal
Jump Shot;108;-3;2;1;0;2011-12;42;10;0;2PT Field Goal
Jump Shot;-91;128;5;1;1;1999-00;37;15;0;2PT Field Goal
Dunk;0;0;2;1;0;2001-02;37;0;1;2PT Field Goal
Layup;0;0;7;3;0;1999-00;53;0;1;2PT Field Goal
Layup;-7;12;0;2;0;2014-15;54;1;0;2PT Field Goal
